precious stone,"emerald, sapphire, amethyst, ruby, pearl, turquoise, gemstone, topaz, quartz"
article of furniture,"couch, bed, futon, loveseat, armoire, ottoman, table, stool, sofa"
carpenter tool,"hammer, screwdriver, wrench, tape measure, saw, pliers, screw, sander, nail gun"
member of clergy,"priest, nun, monk, bishop, preacher, deacon, pope, archbishop, pastor"
type of fuel,"gas, diesel, oil, solar, coal, kerosene, petroleum, electric, propane"
chemical element,"oxygen, hydrogen, sodium, potassium, argon, calcium, lithium, uranium, magnesium"
bird,"eagle, hummingbird, blue jay, hawk, ostrich, duck, raven, dove, sparrow"
nonalcoholic beverage,"juice, milk, water, coffee, pop, root beer, soda, tea, coke"
type of dance,"ballet, tango, ballroom, electric slide, cha cha, jazz, waltz, foxtrot, mambo"
footware,"sandals, boots, moccasins, high heels, flip flops, clogs, cleats, loafers, slippers"
type of boat,"yacht, kayak, canoe, submarine, titanic, cargo, battleship, raft, paddleboat"
football position,"quarterback, lineman, running back, guard, tackle, offense, defense, center, cornerback"
metal,"steel, iron, silver, copper, bronze, aluminum, gold, titanium, lead"
military title,"lieutenant, private, officer, commander, captain, cadet, colonel, soldier, major"
type of fabric,"cotton, wool, denim, cashmere, suede, nylon, silk, velvet, polyester"
fruit,"orange, peach, raspberry, cherry, cantaloupe, kiwi, apple, strawberry, banana"
natural earth formation,"mountain, ocean, volcano, cliff, beach, canyon, hill, river, desert"
weather phenomenon,"tornado, rain, snow, earthquake, drought, sleet, hurricane, hail, thunder"
article of clothing,"shirt, pants, skirt, socks, sweater, tank top, shorts, dress, blouse"
musical instrument,"piano, violin, guitar, banjo, trumpet, saxophone, drums, flute, tuba"
vegetable,"carrot, cauliflower, spinach, zucchini, corn, celery, broccoli, potato, asparagus"
insect,"fly, ant, moth, gnat, centipede, hornet, spider, bee, mosquito"
fish,"trout, halibut, perch, catfish, tuna, cod, salmon, goldfish"
state,"texas, vermont, louisiana, michigan, iowa, florida, wisconsin, connecticut, mississippi"
