cat,item,cue,color,presented,corrAns
OUL,PROUL,R,green,old,1
OUL,CLOUL,R,green,old,1
OUL,MOUL,R,green,old,1
OUL,BLOUL,R,green,old,1
OUL,WOUL,R,green,old,1
OUL,CROUL,R,green,old,1
OUL,NOUL,R,green,new,2
OUL,KROUL,R,green,new,2
OUL,BROUL,R,green,new,2
APP,BRAPP,R,green,old,1
APP,BAPP,R,green,old,1
APP,SPAPP,R,green,old,1
APP,FRAPP,R,green,old,1
APP,BLAPP,R,green,old,1
APP,DRAPP,R,green,old,1
APP,PLAPP,R,green,new,2
APP,DAPP,R,green,new,2
APP,SHAPP,R,green,new,2
OON,DROON,R,green,old,1
OON,BROON,R,green,old,1
OON,TROON,R,green,old,1
OON,HOON,R,green,old,1
OON,GROON,R,green,old,1
OON,SHOON,R,green,old,1
OON,PROON,R,green,new,2
OON,PLOON,R,green,new,2
OON,KLOON,R,green,new,2
LLY,CLELLY,R,green,old,1
LLY,BLELLY,R,green,old,1
LLY,TRELLY,R,green,old,1
LLY,PLELLY,R,green,old,1
LLY,PRELLY,R,green,old,1
LLY,WELLY,R,green,old,1
LLY,DELLY,R,green,new,2
LLY,FLELLY,R,green,new,2
LLY,MELLY,R,green,new,2
OST,SOOST,R,green,old,1
OST,DROOST,R,green,old,1
OST,MOOST,R,green,old,1
OST,CLOOST,R,green,old,1
OST,SHOOST,R,green,old,1
OST,SPOOST,R,green,old,1
OST,ZOOST,R,green,new,2
OST,POOST,R,green,new,2
OST,BLOOST,R,green,new,2
OES,ZOES,R,green,old,1
OES,KROES,R,green,old,1
OES,SPOES,R,green,old,1
OES,CLOES,R,green,old,1
OES,DROES,R,green,old,1
OES,PLOES,R,green,old,1
OES,KLOES,R,green,new,2
OES,PROES,R,green,new,2
OES,TROES,R,green,new,2
LES,FRAFFLES,F,red,old,1
LES,KLAFFLES,F,red,old,1
LES,SPAFFLES,F,red,old,1
LES,PRAFFLES,F,red,old,1
LES,SHAFFLES,F,red,old,1
LES,TRAFFLES,F,red,old,1
LES,CRAFFLES,F,red,new,2
LES,MAFFLES,F,red,new,2
LES,KAFFLES,F,red,new,2
STE,DRASTE,F,red,old,1
STE,JASTE,F,red,old,1
STE,GASTE,F,red,old,1
STE,PRASTE,F,red,old,1
STE,ZASTE,F,red,old,1
STE,KASTE,F,red,old,1
STE,FRASTE,F,red,new,2
STE,NASTE,F,red,new,2
STE,STASTE,F,red,new,2
AAF,BAAF,F,red,old,1
AAF,DRAAF,F,red,old,1
AAF,FRAAF,F,red,old,1
AAF,KRAAF,F,red,old,1
AAF,DAAF,F,red,old,1
AAF,JAAF,F,red,old,1
AAF,GRAAF,F,red,new,2
AAF,KLAAF,F,red,new,2
AAF,CLAAF,F,red,new,2
GEN,PRAGGEN,F,red,old,1
GEN,PLAGGEN,F,red,old,1
GEN,BLAGGEN,F,red,old,1
GEN,JAGGEN,F,red,old,1
GEN,KAGGEN,F,red,old,1
GEN,CLAGGEN,F,red,old,1
GEN,CRAGGEN,F,red,new,2
GEN,SPAGGEN,F,red,new,2
GEN,TRAGGEN,F,red,new,2
NTH,HINTH,F,red,old,1
NTH,DRINTH,F,red,old,1
NTH,BINTH,F,red,old,1
NTH,BLINTH,F,red,old,1
NTH,BRINTH,F,red,old,1
NTH,JINTH,F,red,old,1
NTH,PINTH,F,red,new,2
NTH,FLINTH,F,red,new,2
NTH,PRINTH,F,red,new,2
ILT,NOILT,F,red,old,1
ILT,PLOILT,F,red,old,1
ILT,BLOILT,F,red,old,1
ILT,GROILT,F,red,old,1
ILT,JOILT,F,red,old,1
ILT,DROILT,F,red,old,1
ILT,TROILT,F,red,new,2
ILT,WOILT,F,red,new,2
ILT,ZOILT,F,red,new,2
EUN,SHEUN,New,none,new,2
EUN,BREUN,New,none,new,2
EUN,SEUN,New,none,new,2
CIE,NACIE,New,none,new,2
CIE,KACIE,New,none,new,2
CIE,WACIE,New,none,new,2
ION,NICTION,New,none,new,2
ION,BICTION,New,none,new,2
ION,SPICTION,New,none,new,2
TED,DRATED,New,none,new,2
TED,ZATED,New,none,new,2
TED,PATED,New,none,new,2
MED,SORMED,New,none,new,2
MED,JORMED,New,none,new,2
MED,PLORMED,New,none,new,2
ACY,SHACY,New,none,new,2
ACY,KRACY,New,none,new,2
ACY,GACY,New,none,new,2
PEL,ZAPEL,New,none,new,2
PEL,BAPEL,New,none,new,2
PEL,KRAPEL,New,none,new,2
HED,STOTHED,New,none,new,2
HED,BOTHED,New,none,new,2
HED,GROTHED,New,none,new,2
TAL,PENTAL,New,none,new,2
TAL,GRENTAL,New,none,new,2
TAL,KENTAL,New,none,new,2
GHT,PRAUGHT,New,none,new,2
GHT,CRAUGHT,New,none,new,2
GHT,MAUGHT,New,none,new,2
UDY,BLUDY,New,none,new,2
UDY,SHUDY,New,none,new,2
UDY,CLUDY,New,none,new,2
EME,PEME,New,none,new,2
EME,KEME,New,none,new,2
EME,STEME,New,none,new,2
