cat,item,cue,color,presented,corrAns
EUN,SHEUN,R,green,old,1
EUN,BREUN,R,green,old,1
EUN,SEUN,R,green,old,1
EUN,DREUN,R,green,old,1
EUN,DEUN,R,green,old,1
EUN,NEUN,R,green,old,1
EUN,BEUN,R,green,new,2
EUN,ZEUN,R,green,new,2
EUN,HEUN,R,green,new,2
CIE,NACIE,R,green,old,1
CIE,KACIE,R,green,old,1
CIE,WACIE,R,green,old,1
CIE,KLACIE,R,green,old,1
CIE,CLACIE,R,green,old,1
CIE,JACIE,R,green,old,1
CIE,FLACIE,R,green,new,2
CIE,HACIE,R,green,new,2
CIE,TACIE,R,green,new,2
ION,NICTION,R,green,old,1
ION,BICTION,R,green,old,1
ION,SPICTION,R,green,old,1
ION,BLICTION,R,green,old,1
ION,PRICTION,R,green,old,1
ION,TRICTION,R,green,old,1
ION,GRICTION,R,green,new,2
ION,PICTION,R,green,new,2
ION,CLICTION,R,green,new,2
TED,DRATED,R,green,old,1
TED,ZATED,R,green,old,1
TED,PATED,R,green,old,1
TED,KRATED,R,green,old,1
TED,WATED,R,green,old,1
TED,KATED,R,green,old,1
TED,TATED,R,green,new,2
TED,PRATED,R,green,new,2
TED,JATED,R,green,new,2
MED,SORMED,R,green,old,1
MED,JORMED,R,green,old,1
MED,PLORMED,R,green,old,1
MED,ZORMED,R,green,old,1
MED,BORMED,R,green,old,1
MED,DRORMED,R,green,old,1
MED,GORMED,R,green,new,2
MED,CLORMED,R,green,new,2
MED,MORMED,R,green,new,2
ACY,SHACY,R,green,old,1
ACY,KRACY,R,green,old,1
ACY,GACY,R,green,old,1
ACY,KLACY,R,green,old,1
ACY,FLACY,R,green,old,1
ACY,DACY,R,green,old,1
ACY,HACY,R,green,new,2
ACY,NACY,R,green,new,2
ACY,PRACY,R,green,new,2
PEL,ZAPEL,F,red,old,1
PEL,BAPEL,F,red,old,1
PEL,KRAPEL,F,red,old,1
PEL,JAPEL,F,red,old,1
PEL,PLAPEL,F,red,old,1
PEL,CLAPEL,F,red,old,1
PEL,DAPEL,F,red,new,2
PEL,HAPEL,F,red,new,2
PEL,DRAPEL,F,red,new,2
HED,STOTHED,F,red,old,1
HED,BOTHED,F,red,old,1
HED,GROTHED,F,red,old,1
HED,SOTHED,F,red,old,1
HED,BLOTHED,F,red,old,1
HED,NOTHED,F,red,old,1
HED,WOTHED,F,red,new,2
HED,PLOTHED,F,red,new,2
HED,FLOTHED,F,red,new,2
TAL,PENTAL,F,red,old,1
TAL,GRENTAL,F,red,old,1
TAL,KENTAL,F,red,old,1
TAL,BRENTAL,F,red,old,1
TAL,SPENTAL,F,red,old,1
TAL,SHENTAL,F,red,old,1
TAL,SENTAL,F,red,new,2
TAL,TENTAL,F,red,new,2
TAL,BENTAL,F,red,new,2
GHT,PRAUGHT,F,red,old,1
GHT,CRAUGHT,F,red,old,1
GHT,MAUGHT,F,red,old,1
GHT,SPAUGHT,F,red,old,1
GHT,SHAUGHT,F,red,old,1
GHT,GRAUGHT,F,red,old,1
GHT,BRAUGHT,F,red,new,2
GHT,WAUGHT,F,red,new,2
GHT,DAUGHT,F,red,new,2
UDY,BLUDY,F,red,old,1
UDY,SHUDY,F,red,old,1
UDY,CLUDY,F,red,old,1
UDY,TUDY,F,red,old,1
UDY,PLUDY,F,red,old,1
UDY,KLUDY,F,red,old,1
UDY,SUDY,F,red,new,2
UDY,CRUDY,F,red,new,2
UDY,ZUDY,F,red,new,2
EME,PEME,F,red,old,1
EME,KEME,F,red,old,1
EME,STEME,F,red,old,1
EME,TEME,F,red,old,1
EME,ZEME,F,red,old,1
EME,PLEME,F,red,old,1
EME,JEME,F,red,new,2
EME,BLEME,F,red,new,2
EME,GEME,F,red,new,2
OUL,PROUL,New,none,new,2
OUL,CLOUL,New,none,new,2
OUL,MOUL,New,none,new,2
APP,BRAPP,New,none,new,2
APP,BAPP,New,none,new,2
APP,SPAPP,New,none,new,2
OON,DROON,New,none,new,2
OON,BROON,New,none,new,2
OON,TROON,New,none,new,2
LLY,CLELLY,New,none,new,2
LLY,BLELLY,New,none,new,2
LLY,TRELLY,New,none,new,2
OST,SOOST,New,none,new,2
OST,DROOST,New,none,new,2
OST,MOOST,New,none,new,2
OES,ZOES,New,none,new,2
OES,KROES,New,none,new,2
OES,SPOES,New,none,new,2
LES,FRAFFLES,New,none,new,2
LES,KLAFFLES,New,none,new,2
LES,SPAFFLES,New,none,new,2
STE,DRASTE,New,none,new,2
STE,JASTE,New,none,new,2
STE,GASTE,New,none,new,2
AAF,BAAF,New,none,new,2
AAF,DRAAF,New,none,new,2
AAF,FRAAF,New,none,new,2
GEN,PRAGGEN,New,none,new,2
GEN,PLAGGEN,New,none,new,2
GEN,BLAGGEN,New,none,new,2
NTH,HINTH,New,none,new,2
NTH,DRINTH,New,none,new,2
NTH,BINTH,New,none,new,2
ILT,NOILT,New,none,new,2
ILT,PLOILT,New,none,new,2
ILT,BLOILT,New,none,new,2
