cat,item,cue,color,presented,corrAns
EUN,SHEUN,F,red,old,1
EUN,BREUN,F,red,old,1
EUN,SEUN,F,red,old,1
EUN,DREUN,F,red,old,1
EUN,DEUN,F,red,old,1
EUN,NEUN,F,red,old,1
EUN,BEUN,F,red,new,2
EUN,ZEUN,F,red,new,2
EUN,HEUN,F,red,new,2
CIE,NACIE,F,red,old,1
CIE,KACIE,F,red,old,1
CIE,WACIE,F,red,old,1
CIE,KLACIE,F,red,old,1
CIE,CLACIE,F,red,old,1
CIE,JACIE,F,red,old,1
CIE,FLACIE,F,red,new,2
CIE,HACIE,F,red,new,2
CIE,TACIE,F,red,new,2
ION,NICTION,F,red,old,1
ION,BICTION,F,red,old,1
ION,SPICTION,F,red,old,1
ION,BLICTION,F,red,old,1
ION,PRICTION,F,red,old,1
ION,TRICTION,F,red,old,1
ION,GRICTION,F,red,new,2
ION,PICTION,F,red,new,2
ION,CLICTION,F,red,new,2
TED,DRATED,F,red,old,1
TED,ZATED,F,red,old,1
TED,PATED,F,red,old,1
TED,KRATED,F,red,old,1
TED,WATED,F,red,old,1
TED,KATED,F,red,old,1
TED,TATED,F,red,new,2
TED,PRATED,F,red,new,2
TED,JATED,F,red,new,2
MED,SORMED,F,red,old,1
MED,JORMED,F,red,old,1
MED,PLORMED,F,red,old,1
MED,ZORMED,F,red,old,1
MED,BORMED,F,red,old,1
MED,DRORMED,F,red,old,1
MED,GORMED,F,red,new,2
MED,CLORMED,F,red,new,2
MED,MORMED,F,red,new,2
ACY,SHACY,F,red,old,1
ACY,KRACY,F,red,old,1
ACY,GACY,F,red,old,1
ACY,KLACY,F,red,old,1
ACY,FLACY,F,red,old,1
ACY,DACY,F,red,old,1
ACY,HACY,F,red,new,2
ACY,NACY,F,red,new,2
ACY,PRACY,F,red,new,2
PEL,ZAPEL,R,green,old,1
PEL,BAPEL,R,green,old,1
PEL,KRAPEL,R,green,old,1
PEL,JAPEL,R,green,old,1
PEL,PLAPEL,R,green,old,1
PEL,CLAPEL,R,green,old,1
PEL,DAPEL,R,green,new,2
PEL,HAPEL,R,green,new,2
PEL,DRAPEL,R,green,new,2
HED,STOTHED,R,green,old,1
HED,BOTHED,R,green,old,1
HED,GROTHED,R,green,old,1
HED,SOTHED,R,green,old,1
HED,BLOTHED,R,green,old,1
HED,NOTHED,R,green,old,1
HED,WOTHED,R,green,new,2
HED,PLOTHED,R,green,new,2
HED,FLOTHED,R,green,new,2
TAL,PENTAL,R,green,old,1
TAL,GRENTAL,R,green,old,1
TAL,KENTAL,R,green,old,1
TAL,BRENTAL,R,green,old,1
TAL,SPENTAL,R,green,old,1
TAL,SHENTAL,R,green,old,1
TAL,SENTAL,R,green,new,2
TAL,TENTAL,R,green,new,2
TAL,BENTAL,R,green,new,2
GHT,PRAUGHT,R,green,old,1
GHT,CRAUGHT,R,green,old,1
GHT,MAUGHT,R,green,old,1
GHT,SPAUGHT,R,green,old,1
GHT,SHAUGHT,R,green,old,1
GHT,GRAUGHT,R,green,old,1
GHT,BRAUGHT,R,green,new,2
GHT,WAUGHT,R,green,new,2
GHT,DAUGHT,R,green,new,2
UDY,BLUDY,R,green,old,1
UDY,SHUDY,R,green,old,1
UDY,CLUDY,R,green,old,1
UDY,TUDY,R,green,old,1
UDY,PLUDY,R,green,old,1
UDY,KLUDY,R,green,old,1
UDY,SUDY,R,green,new,2
UDY,CRUDY,R,green,new,2
UDY,ZUDY,R,green,new,2
EME,PEME,R,green,old,1
EME,KEME,R,green,old,1
EME,STEME,R,green,old,1
EME,TEME,R,green,old,1
EME,ZEME,R,green,old,1
EME,PLEME,R,green,old,1
EME,JEME,R,green,new,2
EME,BLEME,R,green,new,2
EME,GEME,R,green,new,2
OUL,PROUL,New,none,new,2
OUL,CLOUL,New,none,new,2
OUL,MOUL,New,none,new,2
APP,BRAPP,New,none,new,2
APP,BAPP,New,none,new,2
APP,SPAPP,New,none,new,2
OON,DROON,New,none,new,2
OON,BROON,New,none,new,2
OON,TROON,New,none,new,2
LLY,CLELLY,New,none,new,2
LLY,BLELLY,New,none,new,2
LLY,TRELLY,New,none,new,2
OST,SOOST,New,none,new,2
OST,DROOST,New,none,new,2
OST,MOOST,New,none,new,2
OES,ZOES,New,none,new,2
OES,KROES,New,none,new,2
OES,SPOES,New,none,new,2
LES,FRAFFLES,New,none,new,2
LES,KLAFFLES,New,none,new,2
LES,SPAFFLES,New,none,new,2
STE,DRASTE,New,none,new,2
STE,JASTE,New,none,new,2
STE,GASTE,New,none,new,2
AAF,BAAF,New,none,new,2
AAF,DRAAF,New,none,new,2
AAF,FRAAF,New,none,new,2
GEN,PRAGGEN,New,none,new,2
GEN,PLAGGEN,New,none,new,2
GEN,BLAGGEN,New,none,new,2
NTH,HINTH,New,none,new,2
NTH,DRINTH,New,none,new,2
NTH,BINTH,New,none,new,2
ILT,NOILT,New,none,new,2
ILT,PLOILT,New,none,new,2
ILT,BLOILT,New,none,new,2
