Target,Neighbour 1,Neighbour 2,Neighbour 3,Neighbour 4,Neighbour 5,Neighbour 6
thumb,chum,dumb,hum,rum,sum,mum
badge,barge,ban,bang,bash,bat,batch
dirt,date,dot,doubt,hurt,shirt,dart
fog,fig,cog,dog,hog,jog,log
geese,gas,goose,cease,piece,niece,lease
foot,fat,feet,fought,fight,fit,soot
chess,chase,check,choice,guess,yes,less
thief,theme,sheaf,reef,leaf,beef,chief
chirp,burp,chap,chop,churn,church,chip
soothe,seethe,sued,booth,soup,suit,soon
fudge,fun,fuzz,budge,judge,forge,nudge
nurse,noose,nerve,curse,purse,verse,worse
death,deaf,den,deck,debt,dead,doth
cough,calf,cuff,cob,con,cop,cot
teeth,teach,team,tease,teethe,heath,wreath
mesh,mush,mash,marsh,mess,met,men
bath,birth,balm,barb,barn,bard,path
turf,terse,term,turn,tiff,tough,surf
joke,jerk,choke,poke,soak,woke,yolk
sharp,ship,shape,shop,shark,harp,carp
